DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,COND,LISTE
CETIRIZINE DICHLORHYDRATE,ARTIZ,COMPRIME PELLICULE ,10MG,B/10,Liste II
CETIRIZINE DICHLORHYDRATE,CETIRIZINE MYLAN,COMPRIME PELLICULE ,10MG,B/15,Liste II
CETIRIZINE DICHLORHYDRATE,CETIRIZINE PHYSIOPHARM,COMPRIME PELLICULE ,10MG,B/10,Liste II
CETIRIZINE DICHLORHYDRATE,HISTARIZINE,COMPRIME PELLICULE ,10MG,B/10,Liste II
CETIRIZINE DICHLORHYDRATE,NADEC,COMPRIME PELLICULE ,10MG,B/15,Liste II
CETIRIZINE DICHLORHYDRATE,RHITENE,COMPRIME PELLICULE ,10MG,B/15,Liste II
CETIRIZINE DICHLORHYDRATE,RHUMIZINE,COMPRIME PELLICULE ,10MG,BOITE DE 10,LISTE II 
CETIRIZINE DICHLORHYDRATE,ZYRTIRIZINE,COMPRIME PELLICULE ,10MG,B/10,Liste II
CETIRIZINE DICHLORHYDRATE,ZYTREX,COMPRIME PELLICULE ,10MG,B/10,Liste II
DEXCHLORPHENIRAMINE MALEATE,HISTAGAN,Comprimé sécable,2MG,B/30 ,
DEXCHLORPHENIRAMINE MALEATE,DEXCHLORPHENIRAMINE AFRO,SOL BUVABLE,"0,5MG/5ML",F/125 ML+CUILLERE DE MESURE  DE 5ML GRADUEE,Liste II
DEXCHLORPHENIRAMINE MALEATE,FENIRAMINE ,SOL BUVABLE,"0,5MG/5ML",b/01 fl de 125 ml +cuillère de mesue de 5 ml,Liste II
DEXCHLORPHENIRAMINE MALEATE,GENARITYNE,SOL BUVABLE,"0,5MG/5ML",FL./125ML,Liste II
DEXCHLORPHENIRAMINE MALEATE,HISTAGAN,SOL BUVABLE,"0,5MG/5ML",FLC 125ML,LISTE II
DOXYLAMINE SUCCINATE,DORLAMINE,SIROP,"0,125 % 6,25MG/5ML",FL/200ML,
DOXYLAMINE SUCCINATE,SULAMINE,SIROP,"0,125 % 6,25MG/5ML",FL/125 ML,LISTE II 
MEQUITAZINE,MEQUITAZ,COMP SEC,5MG,B/14,Liste I
MEQUITAZINE,NATAZINE,COMP SEC,5MG,B/14,Liste I
MEQUITAZINE,PRIMAL,COMP SEC,5MG,B/14,LISTE I
MEQUITAZINE,PRIMALAN,COMP SEC,5MG,B/14,Liste I
PROMETHAZINE CHLORHYDRATE EXPRIME EN PROMETHAZINE,PRANOK,SOL. INJ.,50MG/02ML,B/100 AMP. 02ML,Liste I
MEQUITAZINE,PRIMAL,SIROP,"2,5MG/5ML (0,05%) ",FL/60ML,Liste I
MEQUITAZINE,PRIMAZINE,SIROP,"2,5MG/5ML (0,05%) ",FLACON DE 60ML,LISTE I 
LORATADINE,AKARYD,COMPRIME PELLICULE ,10MG,B/20,Liste II
LORATADINE,ALLERTINE,COMPRIME PELLICULE ,10MG,B/20,Liste II
LORATADINE,LORADINE,COMPRIME PELLICULE ,10MG,B/20,Liste II
LORATADINE,LORATADINE BEKER,COMPRIME PELLICULE ,10MG,B/30,Liste II
LORATADINE,LORATADINE NOVAGENERICS,COMPRIME PELLICULE ,10MG,B/20,Liste II
LORATADINE,LORATAL ,COMPRIME PELLICULE ,10MG,B/20 ,Liste II
LORATADINE,LORATINE,COMPRIME PELLICULE ,10MG,B/30,Liste II
LORATADINE,LUTEDINE,COMPRIME PELLICULE ,10MG,B/30,Liste II
LORATADINE,NEOTADINE,COMPRIME PELLICULE ,10MG,B/10 ET B/20,Liste II
LORATADINE,ORIN,COMPRIME PELLICULE ,10MG,B/10,Liste II
LORATADINE,ALLERMEX,SIROP,1MG/ML,1 FLC DE 60 ML,LISTE II
LORATADINE,LORATINE,SIROP,1MG/ML,FL./125 ML AVEC CUILLERE MESURE ,Liste II
FEXOFENADINE CHLORHYDRATE,FASTOFEN 120,COMPRIME PELLICULE ,120MG,B/20,Liste II
FEXOFENADINE CHLORHYDRATE,FEXODINE,COMPRIME PELLICULE ,120MG,B/15,Liste II
FEXOFENADINE CHLORHYDRATE,FEXOFENADINE BEKER ,COMPRIME PELLICULE ,120MG,B/15,Liste II
FEXOFENADINE CHLORHYDRATE,FEXOFENADINE IVAL,COMPRIME PELLICULE ,120MG,B/15,Liste II
FEXOFENADINE CHLORHYDRATE,FEXONIDAL,COMPRIME PELLICULE ,120MG,B/15,Liste II
FEXOFENADINE CHLORHYDRATE,RIFEX 120,COMPRIME PELLICULE ,120MG,B/20,Liste II
FEXOFENADINE CHLORHYDRATE,TELFADINE,COMPRIME PELLICULE ,120MG,B/20,Liste II
FEXOFENADINE CHLORHYDRATE,TELFAST,COMPRIME PELLICULE ,120MG,B/15,Liste II
FEXOFENADINE CHLORHYDRATE,FASTOFEN 180,COMPRIME PELLICULE ,180MG,B/20,Liste II
FEXOFENADINE CHLORHYDRATE,FEXODINE,COMPRIME PELLICULE ,180MG,B/15,Liste II
FEXOFENADINE CHLORHYDRATE,FEXOFENADINE BEKER ,COMPRIME PELLICULE ,180MG,B/20,Liste II
FEXOFENADINE CHLORHYDRATE,FEXOFENADINE IVAL,COMPRIME PELLICULE ,180MG,B/15,Liste II
FEXOFENADINE CHLORHYDRATE,FEXONIDAL,COMPRIME PELLICULE ,180MG,B/15,Liste II
FEXOFENADINE CHLORHYDRATE,RIFEX 180,COMPRIME PELLICULE ,180MG,B/20,Liste II
FEXOFENADINE CHLORHYDRATE,TELFAST,COMPRIME PELLICULE ,180MG,B/15,Liste II
CETIRIZINE DICHLORHYDRATE,ARTIZ,SOLUTION BUVABLE ,10MG/ML ,B/FL 15 ML COMPTE GOUTTES,LISTE II
CETIRIZINE DICHLORHYDRATE,CETIRIZINE GL,SOL BUV EN GTTES ,10MG/ML ,B/1 FL DE 15 ML +01 SERINGUE DOSEUSE,Liste II
